epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,642.883,1.40407,2.08156,1.29925,0.75077,0.66433,0.71395,0.40517,1.37198,1.96345,1.33661,0.000552647,0.000552647,0.000552647
2,1281.5,1.45022,1.54398,1.31252,0.78184,0.72596,0.76415,0.43938,1.34504,1.7325,1.32119,0.00109734,0.00109734,0.00109734
3,2395.07,1.40813,1.37879,1.29556,0.79323,0.69866,0.75544,0.43015,1.42496,1.49269,1.36868,0.00163103,0.00163103,0.00163103
4,3512.48,1.42302,1.27379,1.30645,0.80231,0.66075,0.74137,0.45123,1.3782,1.56786,1.36098,0.00161749,0.00161749,0.00161749
5,4633.16,1.3834,1.20312,1.29186,0.79348,0.74249,0.80631,0.50724,1.24494,1.27839,1.26809,0.00160099,0.00160099,0.00160099
6,23855.2,1.37525,1.12928,1.2896,0.82789,0.75404,0.80758,0.49658,1.26739,1.11042,1.2889,0.00158448,0.00158448,0.00158448
7,24614.2,1.34951,1.06971,1.2632,0.77017,0.75294,0.79066,0.48403,1.33229,1.24831,1.33595,0.00156798,0.00156798,0.00156798
8,25326.7,1.35072,1.05232,1.26349,0.82837,0.77239,0.82032,0.51856,1.2704,1.02768,1.28605,0.00155148,0.00155148,0.00155148
9,25987.1,1.3291,1.01462,1.26443,0.84801,0.75938,0.82443,0.51749,1.31146,1.02272,1.30332,0.00153497,0.00153497,0.00153497
10,26651,1.31271,0.99823,1.24737,0.83019,0.78053,0.83187,0.51924,1.26339,0.95314,1.26111,0.00151847,0.00151847,0.00151847
11,27312.2,1.29848,0.97198,1.24612,0.82867,0.77673,0.82051,0.53403,1.20607,1.00209,1.23594,0.00150197,0.00150197,0.00150197
12,27970.5,1.29714,0.95428,1.23679,0.83355,0.77967,0.83148,0.53008,1.23864,1.00389,1.27693,0.00148546,0.00148546,0.00148546
13,28626.1,1.2922,0.9468,1.22914,0.86061,0.78746,0.83936,0.54136,1.18331,0.95233,1.23198,0.00146896,0.00146896,0.00146896
